date,well,oil_rate_bpd,water_rate_bpd,flowing_pressure_psia,pump_frequency_hz,water_cut_pct,cum_oil_bbl,cum_water_bbl,oil_rate_ma30
2022-01-01,Well-C,59.349123947564415,15.086913590025642,1502.3229773690673,45.58177934329957,20.268292199738305,59.349123947564415,15.086913590025642,59.349123947564415
2022-01-02,Well-C,61.47226111245147,13.930705788033233,1496.2772268285546,45.41181707048053,18.475010149691716,120.82138506001588,29.017619378058875,60.41069253000794
2022-01-03,Well-C,51.93201964411391,14.588466449711923,1489.64189953654,45.77109259614517,21.930787500763564,172.7534047041298,43.6060858277708,57.58446823470993
2022-01-04,Well-C,61.544862172878496,15.331094688620714,1504.699480978063,45.7384131020592,19.942639174223782,234.2982668770083,58.937180516391514,58.574566719252076
2022-01-05,Well-C,61.80896564938255,16.162785810923644,1502.6569269083925,46.0826017860954,20.729027510882304,296.1072325263909,75.09996632731516,59.22144650527817
2022-01-06,Well-C,58.46563411403114,15.659294419699394,1502.8077974152657,46.99018492191744,21.125544036880434,354.57286664042203,90.75926074701455,59.09547777340367
2022-01-07,Well-C,57.13980282262038,14.912774336032289,1477.987137343961,45.45210734445595,20.697072782276518,411.7126694630424,105.67203508304684,58.81609563757748
2022-01-08,Well-C,59.97551757438533,14.391330586026383,1504.8338531434458,46.34663259214937,19.351809229542464,471.6881870374277,120.06336566907322,58.961023379678466
2022-01-09,Well-C,58.60173932751995,16.260300658860892,1503.3637449661474,46.662028887850674,21.720354750977965,530.2899263649476,136.32366632793412,58.921102929438625
2022-01-10,Well-C,57.66914163780404,16.23762663336024,1490.1384920057224,46.29547529537623,21.970418965938695,587.9590680027517,152.56129296129436,58.79590680027517
2022-01-11,Well-C,62.82786147841879,14.232890301530155,1492.7786065647813,46.79754631098781,18.46970081757433,650.7869294811704,166.7941832628245,59.16244813465186
2022-01-12,Well-C,55.031355241366754,15.3964854303929,1491.483032310047,47.80266202368291,21.86136232992108,705.8182847225372,182.1906686932174,58.81819039354477
2022-01-13,Well-C,55.304891956292515,15.61956878001179,1497.969870984138,47.19292088296238,22.02282346295875,761.1231766788297,197.81023747322917,58.547936667602286
2022-01-14,Well-C,59.172450649315536,15.066198348516648,1493.3196703758304,47.8408761677376,20.29427872395225,820.2956273281453,212.87643582174582,58.59254480915324
2022-01-15,Well-C,60.88440479828874,15.780244718925932,1481.6500757840058,47.5086686247906,20.583469458609546,881.1800321264341,228.65668054067174,58.74533547509561
2022-01-16,Well-C,59.39229199836271,16.11592792294258,1483.873333643143,47.58757270672181,21.343276188656823,940.5723241247968,244.77260846361432,58.7857702577998
2022-01-17,Well-C,64.62150110627857,15.020430362562395,1493.9051204134812,47.29660900381906,18.859952396356654,1005.1938252310754,259.7930388261767,59.12904854300444
2022-01-18,Well-C,55.07395262904215,15.607496523896053,1521.4494210147689,47.249249005416665,22.08146085138275,1060.2677778601176,275.40053535007274,58.9037654366732
2022-01-19,Well-C,61.467523961881376,15.763676658605187,1469.63061214625,47.8056866111311,20.411021105405,1121.735301821999,291.1642120086779,59.03870009589468
2022-01-20,Well-C,59.438428940146444,15.058621875783405,1477.0805777157648,47.57028360424381,20.213715456992816,1181.1737307621454,306.2228338844613,59.05868653810727
2022-01-21,Well-C,56.497289654101245,14.874947920403962,1481.2560696156254,48.8555169062996,20.841364129681462,1237.6710204162466,321.09778180486524,58.936715257916504
2022-01-22,Well-C,61.866100285042016,14.389827567666675,1483.4015367771478,48.435256705372595,18.870437974948242,1299.5371207012886,335.4876093725319,59.069869122785846
2022-01-23,Well-C,53.902620181845066,13.927645841640398,1490.0918735874743,48.531776180496216,20.53308450363162,1353.4397408831337,349.4152552141723,58.84520612535364
2022-01-24,Well-C,51.09740939290262,15.638789476360332,1488.6988559176218,48.287558794954556,23.43374321782533,1404.5371502760363,365.05404469053263,58.522381261501515
2022-01-25,Well-C,56.829856642307774,15.58753861938968,1504.0467868776618,49.0585173365543,21.524577849093312,1461.367006918344,380.64158330992234,58.45468027673376
2022-01-26,Well-C,58.69287303812837,14.081939539310213,1490.528598865958,48.49717835653518,19.350018283215547,1520.0598799564723,394.72352284923255,58.4638415367874
2022-01-27,Well-C,62.095130992756296,13.983223100841698,1492.0948212093647,47.852731264011645,18.380028416017467,1582.1550109492287,408.70674595007426,58.59833373886032
2022-01-28,Well-C,57.1622611232049,15.244473752666359,1497.5349388626864,48.20499135404563,21.053944469116523,1639.3172720724335,423.9512197027406,58.54704543115834
2022-01-29,Well-C,54.055240820561565,17.007015585978454,1491.116149965898,48.934487845960795,23.932557796480637,1693.372512892995,440.9582352887191,58.39215561699983
2022-01-30,Well-C,58.78142884604506,15.509114561700928,1490.895872971185,49.45117606649108,20.876297103628204,1752.15394173904,456.46734985042,58.40513139130133
