date,well,oil_rate_bpd,water_rate_bpd,flowing_pressure_psia,pump_frequency_hz
2022-01-01,Well-A,119.13545802253243,39.65419279933696,1498.8868413843234,45.350991862549435
2022-01-02,Well-A,123.71692802861013,40.25319116637157,1492.0167839765518,44.65930462043991
2022-01-03,Well-A,124.79037136252127,39.581970639737236,1502.565998586879,45.45719319928117
2022-01-04,Well-A,123.31787764302084,37.65199895865039,1506.67361423348,44.99806567111297
2022-01-05,Well-A,115.40417865405838,38.68866663736642,1492.9003172586397,45.914356313349955
2022-01-06,Well-A,127.40623825297652,39.97119282815926,1482.7704106686103,45.56344238930772
2022-01-07,Well-A,122.39082212916946,38.967342809510896,1490.7820240766598,45.577556103354304
2022-01-08,Well-A,115.13371884841686,41.06017850010473,1507.7349327244328,46.146875621589636
2022-01-09,Well-A,125.54078324840575,40.19580401025125,1514.7310092448386,46.13814878555676
2022-01-10,Well-A,104.04550057657558,41.72016629368589,1500.1585241091984,46.20263789110403
2022-01-11,Well-A,118.43551659215572,37.81756061670244,1496.1994543015,46.03116468549395
2022-01-12,Well-A,127.91634147585643,36.9605840034489,1503.3061967980884,47.08820536155105
2022-01-13,Well-A,113.84798386496661,41.03093521383816,1477.1099858032426,46.749360422380164
2022-01-14,Well-A,113.12005160383261,42.70634319064358,1493.0789591090452,47.44940414437703
2022-01-15,Well-A,117.70833421308704,41.49838936975355,1503.5573144033215,46.99313009766659
2022-01-16,Well-A,115.65806318532147,37.478356853100465,1495.5295023306596,47.374520379681314
2022-01-17,Well-A,116.60935716373068,45.10203048525443,1471.7769702922183,47.889674720359736
2022-01-18,Well-A,112.36437458991077,40.67066579394255,1486.9742847465088,47.78535938896302
2022-01-19,Well-A,107.48853979873306,39.467241454709026,1493.924884273226,48.16988238700583
2022-01-20,Well-A,124.07234022143656,44.925743337264166,1494.2168663878476,48.11382568119352
2022-01-21,Well-A,109.0604505025876,41.947407459376436,1464.8771889395434,47.92521000254394
2022-01-22,Well-A,121.29270639055771,41.66317242325437,1520.7026886356177,48.20491774992538
2022-01-23,Well-A,119.85751108699361,37.95964052351581,1464.244384129782,47.393565716871436
2022-01-24,Well-A,120.84977151982419,42.3466926572761,1484.2928441906306,49.14332218177235
2022-01-25,Well-A,110.82441845832804,41.5258849155658,1502.7687058754768,48.60590803075011
2022-01-26,Well-A,120.65087389251053,39.34558497615755,1491.6992154323625,48.131193028705226
2022-01-27,Well-A,114.5212678551431,41.78290539713039,1488.3053266731156,47.79130069305189
2022-01-28,Well-A,123.52977858170118,41.381643499846014,1472.3883121202296,49.921585021682986
2022-01-29,Well-A,115.91270739610728,44.60565231885884,1474.9303970102974,49.123365656501164
2022-01-30,Well-A,110.27092521739036,39.322880329908386,1494.9094097256054,49.041744894545985
2022-01-01,Well-B,94.39395565203128,23.128308232073802,1503.3231834406772,44.866331260751416
2022-01-02,Well-B,96.05479049154214,26.66815377014247,1499.816568639034,45.11347415729838
2022-01-03,Well-B,98.47941789064843,23.660410871100602,1504.482506875854,44.57582627875439
2022-01-04,Well-B,94.25042871021643,24.713912940970268,1499.3441985746092,45.908485239006026
2022-01-05,Well-B,93.36273265938823,28.04253942632433,1489.407074578135,45.11525581316049
2022-01-06,Well-B,98.93088521318026,23.322976703360354,1497.3353132078726,45.956099343138106
2022-01-07,Well-B,98.80930511728276,24.45178258559566,1495.697392262994,46.36799796362015
2022-01-08,Well-B,95.43643780369797,25.40407841585631,1506.647411134536,46.602786627540596
2022-01-09,Well-B,101.58710461402585,25.36516502445772,1490.037309907545,45.753363019321476
2022-01-10,Well-B,91.03145641289481,25.244583343391835,1511.8487626314873,45.950050683595535
2022-01-11,Well-B,98.02134992288919,25.27901976476041,1516.8343146684774,46.77639374074628
2022-01-12,Well-B,100.94306301596394,26.20375672855934,1493.9207118510396,46.53170352943401
2022-01-13,Well-B,94.86452040206203,26.373545355855956,1507.2810168682809,46.925017623378615
2022-01-14,Well-B,99.48767136165357,26.129981143437426,1495.0651602798177,48.175889451069295
2022-01-15,Well-B,85.35275460185993,25.76504283595072,1493.8973479452395,46.94555431349959
2022-01-16,Well-B,89.82835592111886,26.076967736350678,1495.8809327219237,47.10835910104886
2022-01-17,Well-B,91.76639815529009,25.312548717888454,1509.4158897638329,47.53774617902611
2022-01-18,Well-B,83.28466220031957,28.017392292983246,1488.130030912187,48.555566350086806
2022-01-19,Well-B,98.96827263042444,25.167373445148122,1473.177492404997,47.60569746473764
2022-01-20,Well-B,87.10032354172353,24.446416687458214,1489.0691585750615,48.21077339520053
2022-01-21,Well-B,94.83338891411202,27.49437125575946,1488.7129967505098,48.59249098510574
2022-01-22,Well-B,95.5092454102629,25.970871146778265,1485.1811430987584,49.37917411007421
2022-01-23,Well-B,92.19583742967662,25.47287413003445,1490.252193761145,47.9619118123128
2022-01-24,Well-B,91.78374340943279,24.785555566385103,1480.9942155669644,48.176285878042904
2022-01-25,Well-B,89.96021705984464,24.90117323929138,1484.9024356185482,47.954397668976895
2022-01-26,Well-B,93.63034479465337,26.225315668850474,1477.3359058393776,49.700574168560934
2022-01-27,Well-B,86.74875514418885,26.70840151188728,1497.412042492293,49.762452807900445
2022-01-28,Well-B,94.93267225907753,23.308354986308334,1486.734681174606,48.55106459430473
2022-01-29,Well-B,92.78883394467765,24.88131872962994,1489.6789362276527,49.06656645937701
2022-01-30,Well-B,93.85855546443115,25.559573912935726,1488.7640946981735,49.05699444675332
2022-01-01,Well-C,59.349123947564415,15.086913590025642,1502.3229773690673,45.58177934329957
2022-01-02,Well-C,61.47226111245147,13.930705788033233,1496.2772268285546,45.41181707048053
2022-01-03,Well-C,51.93201964411391,14.588466449711923,1489.64189953654,45.77109259614517
2022-01-04,Well-C,61.544862172878496,15.331094688620714,1504.699480978063,45.7384131020592
2022-01-05,Well-C,61.80896564938255,16.162785810923644,1502.6569269083925,46.0826017860954
2022-01-06,Well-C,58.46563411403114,15.659294419699394,1502.8077974152657,46.99018492191744
2022-01-07,Well-C,57.13980282262038,14.912774336032289,1477.987137343961,45.45210734445595
2022-01-08,Well-C,59.97551757438533,14.391330586026383,1504.8338531434458,46.34663259214937
2022-01-09,Well-C,58.60173932751995,16.260300658860892,1503.3637449661474,46.662028887850674
2022-01-10,Well-C,57.66914163780404,16.23762663336024,1490.1384920057224,46.29547529537623
2022-01-11,Well-C,62.82786147841879,14.232890301530155,1492.7786065647813,46.79754631098781
2022-01-12,Well-C,55.031355241366754,15.3964854303929,1491.483032310047,47.80266202368291
2022-01-13,Well-C,55.304891956292515,15.61956878001179,1497.969870984138,47.19292088296238
2022-01-14,Well-C,59.172450649315536,15.066198348516648,1493.3196703758304,47.8408761677376
2022-01-15,Well-C,60.88440479828874,15.780244718925932,1481.6500757840058,47.5086686247906
2022-01-16,Well-C,59.39229199836271,16.11592792294258,1483.873333643143,47.58757270672181
2022-01-17,Well-C,64.62150110627857,15.020430362562395,1493.9051204134812,47.29660900381906
2022-01-18,Well-C,55.07395262904215,15.607496523896053,1521.4494210147689,47.249249005416665
2022-01-19,Well-C,61.467523961881376,15.763676658605187,1469.63061214625,47.8056866111311
2022-01-20,Well-C,59.438428940146444,15.058621875783405,1477.0805777157648,47.57028360424381
2022-01-21,Well-C,56.497289654101245,14.874947920403962,1481.2560696156254,48.8555169062996
2022-01-22,Well-C,61.866100285042016,14.389827567666675,1483.4015367771478,48.435256705372595
2022-01-23,Well-C,53.902620181845066,13.927645841640398,1490.0918735874743,48.531776180496216
2022-01-24,Well-C,51.09740939290262,15.638789476360332,1488.6988559176218,48.287558794954556
2022-01-25,Well-C,56.829856642307774,15.58753861938968,1504.0467868776618,49.0585173365543
2022-01-26,Well-C,58.69287303812837,14.081939539310213,1490.528598865958,48.49717835653518
2022-01-27,Well-C,62.095130992756296,13.983223100841698,1492.0948212093647,47.852731264011645
2022-01-28,Well-C,57.1622611232049,15.244473752666359,1497.5349388626864,48.20499135404563
2022-01-29,Well-C,54.055240820561565,17.007015585978454,1491.116149965898,48.934487845960795
2022-01-30,Well-C,58.78142884604506,15.509114561700928,1490.895872971185,49.45117606649108
